Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Last 6 Over 2.5,Last 6 Over 1.5,Last 6 CS,Last 6 BTTS,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
FC Köln,6,2,1,3,8,1.33,5/6,5/6,0/6,5/6,25,40,1.60,8,6,11,68.0,84.0,8.00,80.00
Wolfsburg,6,2,1,3,11,1.83,5/6,6/6,0/6,6/6,23,38,1.65,6,4,13,65.2,78.3,8.70,69.57
Hoffenheim,6,5,1,0,15,2.50,3/6,4/6,3/6,3/6,24,57,2.38,16,4,4,70.8,87.5,25.00,66.67
Union Berlin,6,2,3,1,7,1.17,3/6,5/6,1/6,4/6,28,53,1.89,12,7,9,64.3,82.1,25.00,60.71
Eintracht Frankfurt,6,0,3,3,12,2.00,5/6,6/6,0/6,6/6,34,74,2.18,12,10,12,73.5,88.2,14.71,73.53
Bayer Leverkusen,6,3,0,3,7,1.17,2/6,4/6,2/6,2/6,32,61,1.91,18,5,9,53.1,87.5,37.50,46.88
Werder Bremen,6,0,3,3,3,0.50,2/6,3/6,2/6,1/6,28,44,1.57,8,7,13,64.3,78.6,21.43,50.00
Borussia Moenchengladbach,6,1,1,4,5,0.83,4/6,5/6,2/6,1/6,31,52,1.68,13,7,11,64.5,80.6,41.94,38.71
RasenBallsport Leipzig,6,2,1,3,9,1.50,4/6,6/6,2/6,4/6,23,51,2.22,15,3,5,65.2,87.0,39.13,56.52
FSV Mainz,6,3,2,1,10,1.67,4/6,5/6,2/6,4/6,32,53,1.66,12,7,13,50.0,71.9,18.75,53.13
Augsburg,6,1,3,2,5,0.83,3/6,4/6,1/6,3/6,23,34,1.48,7,4,12,60.9,78.3,21.74,52.17
St. Pauli,6,0,4,2,4,0.67,2/6,3/6,3/6,3/6,27,32,1.19,5,9,13,51.9,70.4,25.93,48.15
Hamburger SV,6,1,3,2,6,1.00,3/6,4/6,2/6,4/6,24,24,1.00,7,7,10,45.8,66.7,29.17,50.00
Bayern Munich,6,5,0,1,24,4.00,5/6,6/6,2/6,4/6,40,139,3.48,34,2,4,92.5,97.5,35.00,60.00
VfB Stuttgart,6,4,1,1,14,2.33,4/6,6/6,1/6,4/6,33,69,2.09,19,5,9,66.7,87.9,33.33,54.55
Freiburg,6,4,1,1,11,1.83,4/6,5/6,1/6,4/6,31,53,1.71,17,8,6,58.1,83.9,35.48,58.06
Borussia Dortmund,6,4,1,1,14,2.33,4/6,6/6,3/6,2/6,37,80,2.16,21,10,6,56.8,81.1,37.84,56.76
FC Heidenheim,6,0,2,4,5,0.83,5/6,6/6,0/6,4/6,23,46,2.00,6,4,13,73.9,91.3,13.04,52.17
Nuernberg,6,2,1,3,7,1.17,4/6,5/6,0/6,3/6,25,44,1.76,10,5,10,64.0,84.0,16.00,56.00
Preußen Muenster,6,1,2,3,6,1.00,3/6,5/6,0/6,4/6,26,30,1.15,7,7,12,61.5,76.9,15.38,69.23
Magdeburg,6,4,1,1,14,2.33,5/6,6/6,2/6,4/6,27,41,1.52,11,3,13,59.3,85.2,25.93,44.44
Hannover 96,6,4,0,2,10,1.67,4/6,5/6,3/6,3/6,28,48,1.71,15,5,8,71.4,82.1,35.71,46.43
Bochum,6,2,4,0,9,1.50,3/6,4/6,2/6,4/6,28,45,1.61,12,6,10,50.0,78.6,28.57,57.14
Schalke 04,6,3,2,1,8,1.33,2/6,4/6,4/6,2/6,30,43,1.43,20,4,6,46.7,56.7,56.67,33.33
Eintracht Braunschweig,6,3,2,1,8,1.33,4/6,5/6,1/6,4/6,24,31,1.29,9,5,10,62.5,83.3,16.67,62.50
Karlsruher SC,6,1,3,2,9,1.50,4/6,6/6,1/6,4/6,26,42,1.62,10,6,10,76.9,88.5,23.08,61.54
Holstein Kiel,6,3,3,0,12,2.00,3/6,6/6,2/6,4/6,27,35,1.30,10,10,7,37.0,77.8,33.33,55.56
Greuther Fuerth,6,1,2,3,9,1.50,3/6,5/6,2/6,2/6,28,49,1.75,10,5,13,67.9,82.1,17.86,53.57
Kaiserslautern,6,3,2,1,13,2.17,5/6,5/6,1/6,5/6,27,54,2.00,14,4,9,59.3,77.8,25.93,51.85
Elversberg,6,3,2,1,13,2.17,3/6,5/6,1/6,5/6,28,49,1.75,14,5,9,53.6,71.4,32.14,50.00
Fortuna Duesseldorf,6,3,0,3,7,1.17,3/6,4/6,1/6,3/6,26,29,1.12,9,3,14,57.7,69.2,15.38,57.69
Paderborn,6,3,1,2,12,2.00,5/6,6/6,1/6,4/6,25,43,1.72,14,5,6,64.0,88.0,24.00,68.00
Hertha Berlin,6,0,4,2,8,1.33,3/6,5/6,1/6,4/6,29,48,1.66,14,8,7,44.8,65.5,55.17,31.03
Darmstadt,6,3,2,1,10,1.67,3/6,4/6,2/6,3/6,27,49,1.81,16,7,4,55.6,70.4,37.04,51.85
Dynamo Dresden,6,3,0,3,11,1.83,5/6,6/6,1/6,5/6,26,47,1.81,9,5,12,76.9,92.3,7.69,76.92
Arminia Bielefeld,6,0,3,3,3,0.50,1/6,2/6,1/6,2/6,25,45,1.80,8,6,11,56.0,80.0,24.00,60.00
