Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
NAC Breda,6,0,3,3,6,1.00,29,42,1.45,8,7,14,58.6,69.0,17.24,55.17
Twente,6,3,3,0,12,2.00,30,53,1.77,13,9,8,50.0,76.7,23.33,63.33
AZ Alkmaar,6,3,1,2,13,2.17,35,72,2.06,20,6,9,65.7,77.1,40.00,54.29
NEC Nijmegen,6,4,2,0,15,2.50,23,59,2.57,13,6,4,87.0,95.7,13.04,82.61
PEC Zwolle,6,2,1,3,8,1.33,25,33,1.32,8,5,12,68.0,84.0,16.00,64.00
Telstar,6,3,1,2,12,2.00,26,42,1.62,7,9,10,57.7,84.6,15.38,65.38
Sparta Rotterdam,6,5,0,1,14,2.33,26,45,1.73,14,2,10,53.8,73.1,34.62,42.31
FC Groningen,6,2,2,2,7,1.17,25,33,1.32,10,4,11,48.0,84.0,32.00,44.00
Excelsior,6,1,3,2,6,1.00,22,22,1.00,7,4,11,59.1,72.7,18.18,59.09
Ajax,6,4,1,1,13,2.17,36,72,2.00,17,10,9,69.4,100.0,16.67,66.67
PSV Eindhoven,6,4,1,1,15,2.50,33,93,2.82,25,4,4,81.8,97.0,18.18,75.76
Feyenoord,6,2,2,2,15,2.50,35,74,2.11,16,4,15,68.6,91.4,20.00,65.71
Heracles,6,1,1,4,8,1.33,30,49,1.63,9,5,16,73.3,93.3,6.67,63.33
Fortuna Sittard,6,2,1,3,11,1.83,26,39,1.50,10,4,12,61.5,76.9,15.38,69.23
SC Heerenveen,6,4,1,1,14,2.33,26,46,1.77,9,8,9,65.4,92.3,11.54,69.23
FC Volendam,6,3,0,3,6,1.00,29,40,1.38,9,7,13,65.5,89.7,6.90,68.97
Go Ahead Eagles,6,0,5,1,9,1.50,31,43,1.39,6,12,13,67.7,93.5,9.68,70.97
